age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,Diet,Digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_Ent_Ferm
46,female,no,31.16,0.2479,275.0,0.322,4.247,0.8,1.101,extensive,0.227,0.964,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.275,0.009
47,female,no,31.4,0.2479,275.0,0.322,4.271,0.8,1.107,extensive,0.227,0.97,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.345,0.009
48,female,no,31.65,0.2479,275.0,0.322,4.297,0.8,1.114,extensive,0.227,0.975,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.419,0.009
49,female,no,31.9,0.2479,275.0,0.322,4.322,0.8,1.12,extensive,0.227,0.981,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.491,0.009
50,female,no,32.15,0.2479,275.0,0.322,4.348,0.8,1.127,extensive,0.227,0.987,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.567,0.009
51,female,no,32.4,0.2479,275.0,0.322,4.373,0.8,1.134,extensive,0.227,0.993,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.641,0.009
52,female,no,32.64,0.2479,275.0,0.322,4.397,0.8,1.14,extensive,0.227,0.998,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.709,0.009
53,female,no,32.89,0.2479,275.0,0.322,4.422,0.8,1.146,extensive,0.227,1.004,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.78,0.009
54,female,no,33.14,0.2479,275.0,0.322,4.448,0.8,1.153,extensive,0.227,1.01,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.856,0.009
55,female,no,33.39,0.2479,275.0,0.322,4.473,0.8,1.159,extensive,0.227,1.015,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.926,0.009
56,female,no,33.64,0.2479,275.0,0.322,4.498,0.8,1.166,extensive,0.227,1.021,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.0,0.009
57,female,no,33.88,0.2479,275.0,0.322,4.522,0.8,1.172,extensive,0.227,1.026,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.068,0.009
58,female,no,34.13,0.2479,275.0,0.322,4.547,0.8,1.179,extensive,0.227,1.032,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.143,0.009
59,female,no,34.38,0.2479,275.0,0.322,4.572,0.8,1.185,extensive,0.227,1.038,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.214,0.009
60,female,no,34.63,0.2479,275.0,0.322,4.597,0.8,1.192,extensive,0.227,1.044,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.288,0.01
61,female,no,34.88,0.2479,275.0,0.322,4.622,0.8,1.198,extensive,0.227,1.049,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.358,0.01
62,female,no,35.12,0.2479,275.0,0.322,4.645,0.8,1.204,extensive,0.227,1.054,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.424,0.01
63,female,no,35.37,0.2479,275.0,0.322,4.67,0.8,1.211,extensive,0.227,1.06,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.499,0.01
64,female,no,35.62,0.2479,275.0,0.322,4.695,0.8,1.217,extensive,0.227,1.066,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.57,0.01
65,female,no,35.87,0.2479,275.0,0.322,4.72,0.8,1.223,extensive,0.227,1.071,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.64,0.01
66,female,no,36.12,0.2479,275.0,0.322,4.744,0.8,1.23,extensive,0.227,1.077,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.712,0.01
67,female,no,36.36,0.2479,275.0,0.322,4.768,0.8,1.236,extensive,0.227,1.082,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.78,0.01
68,female,no,36.61,0.2479,275.0,0.322,4.792,0.8,1.242,extensive,0.227,1.088,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.85,0.01
69,female,no,36.86,0.2479,275.0,0.322,4.817,0.8,1.249,extensive,0.227,1.093,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.922,0.01
70,female,no,37.11,0.2479,275.0,0.322,4.841,0.8,1.255,extensive,0.227,1.099,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.992,0.01
71,female,no,37.36,0.2479,275.0,0.322,4.866,0.8,1.261,extensive,0.227,1.105,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.064,0.01
72,female,no,37.6,0.2479,275.0,0.322,4.889,0.8,1.267,extensive,0.227,1.11,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.13,0.01
73,female,no,37.85,0.2479,275.0,0.322,4.914,0.8,1.274,extensive,0.227,1.115,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.202,0.01
74,female,no,38.1,0.2479,275.0,0.322,4.938,0.8,1.28,extensive,0.227,1.121,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.272,0.01
75,female,no,38.35,0.2479,275.0,0.322,4.962,0.8,1.286,extensive,0.227,1.126,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.34,0.01
76,female,no,38.6,0.2479,275.0,0.322,4.987,0.8,1.293,extensive,0.227,1.132,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.414,0.01
77,female,no,38.84,0.2479,275.0,0.322,5.01,0.8,1.299,extensive,0.227,1.137,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.481,0.01
78,female,no,39.09,0.2479,275.0,0.322,5.034,0.8,1.305,extensive,0.227,1.143,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.55,0.01
79,female,no,39.34,0.2479,275.0,0.322,5.058,0.8,1.311,extensive,0.227,1.148,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.618,0.011
80,female,no,39.59,0.2479,275.0,0.322,5.082,0.8,1.317,extensive,0.227,1.154,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.688,0.011
81,female,no,39.83,0.2479,275.0,0.322,5.105,0.8,1.323,extensive,0.227,1.159,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.754,0.011
82,female,no,40.08,0.2479,275.0,0.322,5.129,0.8,1.33,extensive,0.227,1.164,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.825,0.011
83,female,no,40.33,0.2479,275.0,0.322,5.153,0.8,1.336,extensive,0.227,1.17,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.895,0.011
84,female,no,40.58,0.2479,275.0,0.322,5.177,0.8,1.342,extensive,0.227,1.175,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,14.963,0.011
85,female,no,40.83,0.2479,275.0,0.322,5.201,0.8,1.348,extensive,0.227,1.181,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.276,0.037
86,female,no,41.07,0.2479,275.0,0.322,5.224,0.8,1.354,extensive,0.227,1.186,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.405,0.037
87,female,no,41.32,0.2479,275.0,0.322,5.248,0.8,1.36,extensive,0.227,1.191,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.537,0.037
88,female,no,41.57,0.2479,275.0,0.322,5.272,0.8,1.366,extensive,0.227,1.197,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.672,0.037
89,female,no,41.82,0.2479,275.0,0.322,5.295,0.8,1.373,extensive,0.227,1.202,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.807,0.037
90,female,no,42.07,0.2479,275.0,0.322,5.319,0.8,1.379,extensive,0.227,1.207,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.94,0.038
91,female,no,42.31,0.2479,275.0,0.322,5.342,0.8,1.385,extensive,0.227,1.213,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.072,0.038
92,female,no,42.56,0.2479,275.0,0.322,5.365,0.8,1.391,extensive,0.227,1.218,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.201,0.038
93,female,no,42.81,0.2479,275.0,0.322,5.389,0.8,1.397,extensive,0.227,1.223,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.333,0.038
94,female,no,43.06,0.2479,275.0,0.322,5.413,0.8,1.403,extensive,0.227,1.229,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.469,0.038
95,female,no,43.31,0.2479,275.0,0.322,5.436,0.8,1.409,extensive,0.227,1.234,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.598,0.038
96,female,no,43.55,0.2479,275.0,0.322,5.459,0.8,1.415,extensive,0.227,1.239,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.727,0.039
97,female,no,43.8,0.2479,275.0,0.322,5.482,0.8,1.421,extensive,0.227,1.244,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.856,0.039
98,female,no,44.05,0.2479,275.0,0.322,5.506,0.8,1.427,extensive,0.227,1.25,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.991,0.039
99,female,no,44.3,0.2479,275.0,0.322,5.529,0.8,1.433,extensive,0.227,1.255,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,31.12,0.039
100,female,no,44.55,0.2479,275.0,0.322,5.553,0.8,1.439,extensive,0.227,1.261,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,31.256,0.039
101,female,no,44.79,0.2479,275.0,0.322,5.575,0.8,1.445,extensive,0.227,1.266,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,31.381,0.039
102,female,no,45.04,0.2479,275.0,0.322,5.598,0.8,1.451,extensive,0.227,1.271,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,31.51,0.04
103,female,no,45.29,0.2479,275.0,0.322,5.622,0.8,1.457,extensive,0.227,1.276,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,31.643,0.04
104,female,no,45.54,0.2479,275.0,0.322,5.645,0.8,1.463,extensive,0.227,1.281,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,31.772,0.04
105,female,no,45.79,0.2479,275.0,0.322,5.668,0.8,1.469,extensive,0.227,1.287,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,31.904,0.04
106,female,no,46.03,0.2479,275.0,0.322,5.69,0.8,1.475,extensive,0.227,1.292,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,32.029,0.04
107,female,no,46.28,0.2479,275.0,0.322,5.713,0.8,1.481,extensive,0.227,1.297,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,32.158,0.04
108,female,no,46.53,0.2479,275.0,0.322,5.737,0.8,1.487,extensive,0.227,1.302,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,32.291,0.041
109,female,no,46.78,0.2479,275.0,0.322,5.76,0.8,1.493,extensive,0.227,1.308,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,32.423,0.041
110,female,no,47.02,0.2479,275.0,0.322,5.782,0.8,1.499,extensive,0.227,1.313,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,32.549,0.041
111,female,no,47.27,0.2479,275.0,0.322,5.805,0.8,1.505,extensive,0.227,1.318,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,32.678,0.041
112,female,no,47.52,0.2479,275.0,0.322,5.828,0.8,1.511,extensive,0.227,1.323,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,32.807,0.041
113,female,no,47.77,0.2479,275.0,0.322,5.851,0.8,1.517,extensive,0.227,1.328,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,32.935,0.041
114,female,no,48.02,0.2479,275.0,0.322,5.874,0.8,1.523,extensive,0.227,1.333,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.064,0.042
115,female,no,48.26,0.2479,275.0,0.322,5.896,0.8,1.528,extensive,0.227,1.338,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.184,0.042
116,female,no,48.51,0.2479,275.0,0.322,5.919,0.8,1.534,extensive,0.227,1.344,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.316,0.042
