weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,Diet,Digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_Ent_Ferm
39.6694214876033,0.2314049586776859,380.0,0.322,5.09,0.8,0.96,extensive,0.227,1.155,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,26.526,0.033
39.90082644628099,0.2314049586776859,380.0,0.322,5.112,0.8,0.964,extensive,0.227,1.16,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,26.64,0.034
40.132231404958674,0.2314049586776859,380.0,0.322,5.134,0.8,0.968,extensive,0.227,1.165,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,26.754,0.034
40.36363636363636,0.2314049586776859,380.0,0.322,5.156,0.8,0.972,extensive,0.227,1.17,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,26.867,0.034
40.595041322314046,0.2314049586776859,380.0,0.322,5.179,0.8,0.977,extensive,0.227,1.176,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,26.994,0.034
40.82644628099173,0.2314049586776859,380.0,0.322,5.201,0.8,0.981,extensive,0.227,1.181,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,27.108,0.034
41.05785123966942,0.2314049586776859,380.0,0.322,5.223,0.8,0.985,extensive,0.227,1.186,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,27.221,0.034
41.289256198347104,0.2314049586776859,380.0,0.322,5.245,0.8,0.989,extensive,0.227,1.191,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,27.335,0.034
41.52066115702479,0.2314049586776859,380.0,0.322,5.267,0.8,0.993,extensive,0.227,1.196,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,27.449,0.035
41.75206611570248,0.2314049586776859,380.0,0.322,5.289,0.8,0.997,extensive,0.227,1.201,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,27.563,0.035
41.98347107438016,0.2314049586776859,380.0,0.322,5.311,0.8,1.002,extensive,0.227,1.206,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,27.683,0.035
42.21487603305785,0.2314049586776859,380.0,0.322,5.333,0.8,1.006,extensive,0.227,1.211,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,27.796,0.035
42.446280991735534,0.2314049586776859,380.0,0.322,5.355,0.8,1.01,extensive,0.227,1.216,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,27.91,0.035
42.67768595041322,0.2314049586776859,380.0,0.322,5.377,0.8,1.014,extensive,0.227,1.221,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.024,0.035
42.90909090909091,0.2314049586776859,380.0,0.322,5.398,0.8,1.018,extensive,0.227,1.225,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.131,0.035
43.14049586776859,0.2314049586776859,380.0,0.322,5.42,0.8,1.022,extensive,0.227,1.23,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.245,0.036
43.37190082644628,0.2314049586776859,380.0,0.322,5.442,0.8,1.026,extensive,0.227,1.235,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.359,0.036
43.603305785123965,0.2314049586776859,380.0,0.322,5.464,0.8,1.03,extensive,0.227,1.24,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.472,0.036
43.83471074380165,0.2314049586776859,380.0,0.322,5.486,0.8,1.035,extensive,0.227,1.245,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.592,0.036
44.06611570247934,0.2314049586776859,380.0,0.322,5.507,0.8,1.039,extensive,0.227,1.25,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.703,0.036
44.29752066115702,0.2314049586776859,380.0,0.322,5.529,0.8,1.043,extensive,0.227,1.255,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.816,0.036
44.52892561983471,0.2314049586776859,380.0,0.322,5.551,0.8,1.047,extensive,0.227,1.26,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,28.93,0.036
44.7603305785124,0.2314049586776859,380.0,0.322,5.572,0.8,1.051,extensive,0.227,1.265,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.041,0.037
44.99173553719008,0.2314049586776859,380.0,0.322,5.594,0.8,1.055,extensive,0.227,1.27,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.154,0.037
45.22314049586777,0.2314049586776859,380.0,0.322,5.615,0.8,1.059,extensive,0.227,1.275,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.265,0.037
45.45454545454545,0.2314049586776859,380.0,0.322,5.637,0.8,1.063,extensive,0.227,1.28,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.379,0.037
45.68595041322314,0.2314049586776859,380.0,0.322,5.658,0.8,1.067,extensive,0.227,1.284,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.486,0.037
45.917355371900825,0.2314049586776859,380.0,0.322,5.68,0.8,1.071,extensive,0.227,1.289,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.6,0.037
46.14876033057851,0.2314049586776859,380.0,0.322,5.701,0.8,1.075,extensive,0.227,1.294,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.71,0.037
46.3801652892562,0.2314049586776859,380.0,0.322,5.723,0.8,1.079,extensive,0.227,1.299,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.824,0.038
46.61157024793389,0.2314049586776859,380.0,0.322,5.744,0.8,1.083,extensive,0.227,1.304,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,29.934,0.038
46.84297520661157,0.2314049586776859,380.0,0.322,5.766,0.8,1.087,extensive,0.227,1.309,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.048,0.038
47.074380165289256,0.2314049586776859,380.0,0.322,5.787,0.8,1.091,extensive,0.227,1.314,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.159,0.038
47.30578512396694,0.2314049586776859,380.0,0.322,5.808,0.8,1.095,extensive,0.227,1.318,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.266,0.038
47.53719008264463,0.2314049586776859,380.0,0.322,5.829,0.8,1.099,extensive,0.227,1.323,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.376,0.038
47.76859504132232,0.2314049586776859,380.0,0.322,5.851,0.8,1.103,extensive,0.227,1.328,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.49,0.038
48.0,0.2314049586776859,380.0,0.322,5.872,0.8,1.107,extensive,0.227,1.333,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,30.6,0.038
48.32967032967033,0.3296703296703296,380.0,0.322,5.902,0.8,1.641,extensive,0.227,1.34,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,33.878,0.043
48.65934065934066,0.3296703296703296,380.0,0.322,5.932,0.8,1.65,extensive,0.227,1.347,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,34.055,0.043
48.98901098901099,0.3296703296703296,380.0,0.322,5.963,0.8,1.658,extensive,0.227,1.354,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,34.229,0.043
49.31868131868132,0.3296703296703296,380.0,0.322,5.993,0.8,1.666,extensive,0.227,1.36,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,34.397,0.043
49.64835164835165,0.3296703296703296,380.0,0.322,6.023,0.8,1.675,extensive,0.227,1.367,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,34.573,0.043
49.97802197802198,0.3296703296703296,380.0,0.322,6.053,0.8,1.683,extensive,0.227,1.374,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,34.744,0.044
50.30769230769231,0.3296703296703296,380.0,0.322,6.082,0.8,1.691,extensive,0.227,1.381,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,34.912,0.044
50.63736263736264,0.3296703296703296,380.0,0.322,6.112,0.8,1.7,extensive,0.227,1.387,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,35.085,0.044
50.96703296703296,0.3296703296703296,380.0,0.322,6.142,0.8,1.708,extensive,0.227,1.394,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,35.256,0.044
