age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,diet,digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_ent_ferm
81,male,no,119.34,0.9917,900.0,0.322,11.626,1.2,4.182,semi-intensive,0.085,0.988,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,33.622,0.024
82,male,no,120.33,0.9917,900.0,0.322,11.699,1.2,4.208,semi-intensive,0.085,0.994,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,33.832,0.024
83,male,no,121.32,0.9917,900.0,0.322,11.771,1.2,4.234,semi-intensive,0.085,1.001,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,34.042,0.024
84,male,no,122.31,0.9917,900.0,0.322,11.843,1.2,4.26,semi-intensive,0.085,1.007,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,34.25,0.025
85,male,no,123.31,0.9917,900.0,0.322,11.915,1.2,4.286,semi-intensive,0.085,1.013,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,51.96,0.059
86,male,no,124.3,0.9917,900.0,0.322,11.987,1.2,4.312,semi-intensive,0.085,1.019,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,52.274,0.059
87,male,no,125.29,0.9917,900.0,0.322,12.058,1.2,4.337,semi-intensive,0.085,1.025,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,52.581,0.06
88,male,no,126.28,0.9917,900.0,0.322,12.13,1.2,4.363,semi-intensive,0.085,1.031,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,52.895,0.06
89,male,no,127.27,0.9917,900.0,0.322,12.201,1.2,4.389,semi-intensive,0.085,1.037,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,53.206,0.06
90,male,no,128.26,0.9917,900.0,0.322,12.272,1.2,4.414,semi-intensive,0.085,1.043,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,53.514,0.061
91,male,no,129.26,0.9917,900.0,0.322,12.344,1.2,4.44,semi-intensive,0.085,1.049,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,53.828,0.061
92,male,no,130.25,0.9917,900.0,0.322,12.415,1.2,4.465,semi-intensive,0.085,1.055,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,54.135,0.061
93,male,no,131.24,0.9917,900.0,0.322,12.485,1.2,4.491,semi-intensive,0.085,1.061,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,54.444,0.062
94,male,no,132.23,0.9917,900.0,0.322,12.556,1.2,4.516,semi-intensive,0.085,1.067,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,54.751,0.062
95,male,no,133.22,0.9917,900.0,0.322,12.626,1.2,4.542,semi-intensive,0.085,1.073,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,55.06,0.062
96,male,no,134.21,0.9917,900.0,0.322,12.697,1.2,4.567,semi-intensive,0.085,1.079,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,55.367,0.063
97,male,no,135.21,0.9917,900.0,0.322,12.768,1.2,4.592,semi-intensive,0.085,1.085,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,55.675,0.063
98,male,no,136.2,0.9917,900.0,0.322,12.838,1.2,4.618,semi-intensive,0.085,1.091,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,55.983,0.063
99,male,no,137.19,0.9917,900.0,0.322,12.908,1.2,4.643,semi-intensive,0.085,1.097,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,56.288,0.064
100,male,no,138.18,0.9917,900.0,0.322,12.977,1.2,4.668,semi-intensive,0.085,1.103,no,0.0,0.0,no,0,0,0.0,0.0,semi-intensive,71.2,0.53199,0.33764,6.3,56.59,0.064
