age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,diet,digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_ent_ferm
82,female,no,71.86,0.5785,380.0,0.322,7.947,0.8,4.095,extensive,0.227,1.804,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.212,0.02
83,female,no,72.44,0.5785,380.0,0.322,7.995,0.8,4.12,extensive,0.227,1.815,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.383,0.02
84,female,no,73.02,0.5785,380.0,0.322,8.043,0.8,4.145,extensive,0.227,1.826,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.554,0.021
85,female,no,73.6,0.5785,380.0,0.322,8.091,0.8,4.169,extensive,0.227,1.837,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,57.781,0.073
86,female,no,74.17,0.5785,380.0,0.322,8.138,0.8,4.194,extensive,0.227,1.847,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,58.119,0.073
87,female,no,74.75,0.5785,380.0,0.322,8.186,0.8,4.218,extensive,0.227,1.858,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,58.458,0.074
88,female,no,75.33,0.5785,380.0,0.322,8.233,0.8,4.243,extensive,0.227,1.869,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,58.8,0.074
89,female,no,75.91,0.5785,380.0,0.322,8.281,0.8,4.267,extensive,0.227,1.88,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,59.138,0.074
90,female,no,76.49,0.5785,380.0,0.322,8.328,0.8,4.292,extensive,0.227,1.89,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,59.476,0.075
91,female,no,77.07,0.5785,380.0,0.322,8.376,0.8,4.316,extensive,0.227,1.901,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,59.815,0.075
92,female,no,77.64,0.5785,380.0,0.322,8.422,0.8,4.34,extensive,0.227,1.912,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,60.147,0.076
93,female,no,78.22,0.5785,380.0,0.322,8.469,0.8,4.364,extensive,0.227,1.922,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,60.479,0.076
